"","lactate control1","lactate control2","lactate treat1","lactate treat2","pregnant control1","pregnant control2","pregnant treat1","pregnant treat2","virgin control1","virgin control2","virgin treat1","virgin treat2"
"497097",354,287,0,0,65,237,0,0,300,0,0,438
"100503874",0,4,0,0,1,1,0,0,0,0,0,1
"100038431",0,0,0,0,0,0,0,0,0,0,0,0
"19888",0,0,0,0,0,0,10,2,1,10,3,1
"20671",43,82,3,10,82,105,18,8,182,16,25,106
"27395",290,270,307,342,337,300,489,328,234,560,464,309
"18777",928,791,544,581,948,935,668,646,515,826,862,652
"100503730",0,0,2,2,0,0,2,0,1,0,1,0
"21399",1159,1066,508,500,1721,1317,1068,926,1495,1334,1258,1604
"58175",2,2,27,15,14,4,138,60,2,170,165,4
"108664",995,903,1330,1296,1062,987,1762,1570,752,1381,1430,769
"18387",0,0,0,0,0,0,0,0,0,0,0,0
"226304",0,0,0,0,0,0,0,0,0,0,0,2
"12421",1603,1577,717,622,1157,967,1288,1278,1412,1262,1336,1494
"620393",0,0,0,0,0,0,0,0,0,0,0,0
"240690",0,0,0,0,0,1,1,0,0,0,0,0
"319263",2029,1982,1427,1459,1374,1593,1036,1144,1242,1085,961,1344
"71096",0,0,0,0,1,0,0,0,0,0,0,1
"59014",793,544,383,409,2127,1653,1076,948,1808,1207,1071,1691
"76187",24,24,247,252,15,21,172,197,15,26,55,18
"72481",17,12,18,12,3,4,27,53,3,19,15,5
"76982",84,77,6,5,15,18,9,7,6,5,8,17
"17864",358,282,39,49,286,262,140,141,537,256,311,764
"70675",1181,956,473,432,1137,1021,1446,1290,1378,1475,1636,1501
"73331",0,1,2,1,1,2,2,0,1,0,0,2
"170755",212,232,42,36,145,146,55,58,232,207,168,280
"620986",61,52,33,24,58,62,67,48,70,127,119,61
"240697",9,8,1,0,6,4,0,0,3,0,1,6
"73824",195,153,93,93,424,362,206,192,366,405,375,352
"266793",8,3,3,0,11,14,3,2,11,8,5,10
"100038398",14,18,19,15,23,28,6,28,21,9,10,64
"100039596",2,3,3,1,4,7,4,0,10,1,1,14
"69312",1,0,1,1,1,0,1,6,0,1,1,1
"26754",956,818,734,763,1174,1031,1426,1219,1051,1531,1714,1134
"211660",542,551,251,266,493,434,466,497,606,561,623,670
"211673",2983,2772,2290,2213,3304,2975,3018,3079,3604,3703,3534,3447
"329093",71,63,0,0,89,61,0,0,121,0,0,92
"109294",137,161,62,43,145,147,24,38,553,137,151,388
"320492",0,2,0,0,2,2,2,9,9,5,2,16
"329096",0,0,0,0,0,0,0,0,0,0,0,0
"240725",437,372,18,17,331,535,10,11,965,42,63,884
"240726",10,5,1,0,23,9,18,8,15,13,7,38
"383491",18,15,0,0,13,12,5,3,11,5,9,8
"17978",3210,3146,719,740,3180,2743,1445,1268,2516,2359,2541,2356
"72265",1026,945,4555,4628,1409,1290,3945,3090,1481,2333,2717,1477
"212442",180,177,344,377,135,122,201,182,119,293,332,141
"381246",0,0,4,4,0,0,0,0,0,0,0,0
"433273",0,2,3,4,2,0,1,0,2,1,4,0
"14048",497,619,0,1,412,366,1,1,388,1,2,280
"17681",2,1,1,2,3,2,36,16,2,55,44,5
"277328",0,0,0,0,0,0,0,0,0,0,0,0
"98741",0,1,0,0,0,1,0,0,0,1,0,4
"21749",169,221,154,121,181,146,150,137,235,214,220,270
"226866",245,244,0,1,382,393,3,19,924,10,13,733
"665434",0,0,0,0,2,0,0,0,1,1,1,1
"75799",2,1,0,0,1,1,0,0,0,1,0,3
"19989",9690,8652,3834,3766,14309,12427,12087,10919,16804,15065,14918,13915
"98711",1278,1388,114,108,1809,1253,620,609,1860,541,760,2322
"29819",439,362,191,222,533,464,469,357,419,422,489,395
"66799",842,717,208,226,712,650,345,335,719,411,404,750
"67923",2115,1980,549,523,2716,2221,923,805,2920,1347,1240,3119
"329101",0,1,0,0,2,4,1,0,1,0,0,1
"70397",503,467,448,506,605,522,417,375,428,438,385,485
"17087",52,31,106,88,54,38,167,144,21,75,89,33
"57339",136,109,42,43,214,183,55,45,162,83,49,199
"14545",14,10,0,1,22,18,1,1,2,2,2,2
"94227",112,76,2,2,170,273,4,1,234,11,10,122
"83691",257,261,1,7,315,298,5,3,768,9,10,419
"78081",0,0,0,0,0,0,0,0,0,0,0,0
"654454",0,0,0,0,0,0,0,0,0,0,1,0
"654460",0,0,0,0,0,0,0,0,0,0,0,0
"77673",0,0,0,0,0,0,0,0,0,0,0,0
"654464",0,0,0,0,0,0,0,0,0,0,0,0
"226896",0,0,0,0,0,0,0,0,0,0,0,0
"21419",2114,2638,99,85,1545,1787,200,61,1540,1918,1692,1715
"241035",0,1,0,0,0,0,3,0,0,14,22,0
"75028",0,0,0,0,0,0,0,0,0,0,0,0
"387202",0,0,0,0,0,0,0,0,0,0,0,0
"723817",0,0,0,0,0,0,0,0,0,0,0,0
"16171",0,0,0,0,0,0,0,0,0,0,0,0
"257630",0,0,0,2,1,0,0,0,0,0,0,2
"17215",143,116,552,591,733,504,1102,354,1176,1737,1458,1394
"77741",0,0,0,0,1,1,0,0,4,1,2,0
"74229",77,70,1,1,101,84,3,6,164,32,37,154
"71877",75,77,5,5,38,62,4,11,77,33,37,88
"170829",92,90,51,54,65,76,55,61,109,117,99,145
"75712",90,98,4,3,77,109,4,12,78,43,50,52
"14859",8,5,38,35,3,4,32,89,2,6,8,4
"241041",0,0,0,0,0,0,0,0,0,0,0,0
"368204",3,1,0,0,2,0,0,0,0,0,1,0
"433278",2,3,0,0,0,0,0,0,0,0,0,1
"98582",2,4,0,0,1,2,0,0,1,0,0,1
"226922",1662,2240,1,3,881,947,2,2,1113,1,4,1080
"116837",5,3,0,0,4,0,0,0,10,0,0,2
"66755",0,0,0,0,0,0,0,0,0,0,1,0
"387225",0,0,0,0,0,0,0,0,0,0,0,0
"723964",0,0,1,0,0,0,0,0,0,0,0,0
"70155",401,401,2986,2709,619,396,7155,5882,332,3240,2982,372
"100503399",0,0,10,5,3,0,10,6,0,3,2,0
"280645",56,66,37,47,95,77,69,84,70,49,60,56
"98366",774,736,453,439,850,814,599,535,808,473,562,739
"68002",89,123,112,105,95,134,102,101,73,182,148,99
"68187",836,906,310,347,637,550,519,505,840,547,575,940
"12839",197,181,4874,5597,1818,1461,3121,3790,725,825,1603,245
"12823",0,0,4,1,3,5,1,3,6,1,3,7
"68421",1501,1512,587,513,1241,1444,1139,1323,1176,1232,1413,1230
"210933",0,0,0,0,0,0,0,0,0,0,0,1
"100504323",0,0,0,0,0,0,0,0,0,0,0,0
"210940",0,0,0,0,0,0,0,0,0,0,0,0
"433281",0,0,0,0,0,0,0,0,0,0,0,0
"665903",121,97,72,84,168,144,208,132,193,212,219,174
"210962",0,0,0,0,0,0,0,0,0,0,0,0
"623924",0,0,0,0,0,0,0,0,0,0,0,0
"791350",0,0,0,0,0,0,0,0,0,0,0,0
"213109",2231,2194,802,776,1902,1740,1825,1709,2504,2611,2740,2798
"19243",1719,1392,681,599,2068,1697,1268,1150,2611,2009,1986,2493
"70988",0,0,0,0,0,0,0,0,0,0,0,0
"266744",0,0,0,0,0,0,0,0,0,0,0,0
"74708",0,0,0,0,0,0,0,0,0,0,0,0
"226957",2,0,0,0,0,0,2,1,0,0,0,0
"624262",2,1,1,1,3,2,5,1,2,5,5,7
"170771",0,1,0,0,3,0,0,0,4,0,0,0
"408192",0,0,0,1,0,0,0,0,0,0,0,0
"408191",0,0,0,0,0,0,0,0,0,0,0,0
"19076",177,176,195,166,339,275,370,239,388,537,496,425
"67503",4,5,1,2,4,11,9,3,9,2,3,9
"19335",342,354,43,46,245,244,48,46,271,193,212,319
"213539",1276,1036,222,232,2241,1917,708,600,1071,534,577,804
"98403",396,460,134,168,618,548,350,295,489,492,567,543
"433287",124,116,68,92,186,160,161,114,214,183,208,222
"320705",3,0,5,8,1,1,3,13,3,8,5,2
"13518",56478,44370,3578,3500,16894,27489,4323,5308,36904,7210,6921,31072
"100628580",0,1,1,1,0,0,2,0,0,0,1,1
"69668",90,96,115,152,241,136,224,169,216,244,289,250
"27993",321,354,430,465,633,472,958,762,689,969,902,782
"52318",94,100,80,86,213,148,184,152,241,373,349,281
"19253",15,14,985,1184,64,47,1223,1359,53,1099,1345,47
"21755",0,0,2,0,0,0,2,2,0,0,1,0
"12627",0,0,0,0,0,0,0,0,0,0,0,0
"21756",2,2,0,0,2,2,0,0,1,0,0,1
"211383",0,0,0,0,0,0,0,0,0,0,0,0
"241051",1,0,0,0,0,0,0,0,0,0,0,0
"226970",138,152,10,4,251,169,42,43,228,70,65,181
"214469",5162,4708,1764,1717,6557,5811,4091,3482,5643,4211,4752,6028
"226971",314,268,262,247,398,361,329,377,557,1395,1428,488
"50785",2181,1817,2101,2097,3703,3682,5203,4797,3843,3587,3776,4283
"320011",1951,2043,2553,2691,2220,2113,3120,2388,2375,2730,2692,2932
"214854",44,26,14,15,63,29,7,6,294,67,79,204
"214855",10862,10687,1643,1777,6976,6965,1590,1328,14215,3911,3897,19388
"226976",1987,1817,825,855,2202,2021,1815,1660,2293,2254,2375,2331
"214895",273,254,406,382,297,246,356,302,287,696,778,367
"94220",658,617,284,322,998,698,346,212,1359,685,740,1581
"94218",101,173,319,349,117,121,318,240,268,519,454,396
"78321",110,119,105,125,92,105,103,95,105,139,203,128
"109346",98,115,97,124,133,112,106,86,101,140,163,96
"20353",2553,2422,978,792,5233,4421,2300,2049,5219,6550,6010,7026
"381337",18,13,4,2,17,16,91,42,6,35,44,14
"12859",476,464,596,619,787,780,908,717,583,857,833,646
"226977",2471,2248,1304,1306,2563,2524,2116,1835,2537,1965,2234,2703
"71166",5,3,1,1,12,9,1,1,9,3,2,8
"22637",2,4,1,0,13,10,0,0,19,1,4,1
"56030",2830,2695,954,947,2665,2640,2038,1728,2643,1910,2204,2896
"70853",6,7,0,0,2,7,2,0,7,2,1,14
"12790",6,3,0,0,3,3,0,0,16,0,3,4
"269180",868,823,128,131,627,538,322,336,572,333,384,699
"76178",801,768,1059,1225,844,803,1962,1589,737,1507,1654,808
"67387",400,439,375,344,464,424,575,506,511,558,666,529
"269181",848,787,1062,1048,810,708,1672,1520,982,1683,1737,1008
"77633",92,72,107,95,172,103,128,121,134,141,120,111
"100861893",0,0,0,0,0,0,0,0,0,0,0,0
"72097",16,12,582,599,46,32,948,819,14,856,1015,22
"100503734",0,0,2,3,0,0,0,2,0,0,0,0
"211484",41,43,18,17,36,36,33,46,36,47,57,27
"623661",49,29,21,21,39,23,55,71,26,48,43,26
"69028",312,240,116,115,236,197,112,85,208,139,153,171
"107734",454,384,221,228,494,534,403,365,431,535,584,480
"332427",0,0,0,0,0,0,0,0,0,0,0,0
"69541",0,0,2,1,0,0,3,10,0,0,1,0
"98258",804,759,440,400,836,760,1311,1298,755,1207,1475,870
"226982",3336,2740,2501,2550,4855,4156,5629,6043,3876,4480,4686,4112
"56210",420,404,354,351,693,574,607,541,530,527,523,518
"16764",231,226,0,0,325,278,0,1,327,5,5,363
"381338",0,1,0,0,0,1,1,1,5,1,0,0
"98388",32,55,1,1,48,29,24,14,9,13,19,24
"100503760",0,0,0,0,0,0,0,0,0,1,0,0
"433292",0,0,0,0,0,0,0,0,0,0,0,0
"68833",2032,1833,230,316,1698,1844,720,629,1119,981,1202,1282
"18143",12,12,462,380,14,29,256,315,25,179,310,24
"114641",987,889,669,673,1804,1569,1863,1601,1862,2350,2596,1655
"54610",246,288,4091,4547,306,248,2334,2274,470,942,1310,482
"52846",405,474,158,168,602,530,419,311,806,489,509,948
"100217461",3,4,0,0,14,13,4,8,17,10,3,21
"67702",815,742,1947,1942,2005,1673,2553,2371,3143,1698,1855,2943
"263764",0,1,0,0,19,20,6,4,16,0,1,26
"619289",2,0,1,0,1,2,1,2,2,0,2,1
"100042065",0,0,0,0,0,0,0,0,2,0,0,0
"73426",0,0,0,0,0,0,1,0,0,0,0,0
"26921",6128,5980,985,923,6242,5804,4492,4869,5787,4341,4710,6042
"100047133",7,9,0,0,9,7,0,1,0,0,0,1
"16178",110,89,8,3,42,90,0,1,12,5,4,12
"16177",266,255,120,112,369,409,133,193,462,640,700,394
"107527",37,34,162,163,62,67,48,62,211,85,104,108
"17082",9,5,2,1,93,25,7,2,23,4,2,13
"16182",4,5,453,629,40,28,348,761,51,639,534,92
"16174",2,2,104,132,7,1,36,54,2,26,51,6
"110895",24,21,3110,3596,15,16,337,750,3,16,13,0
"226999",6,6,409,425,8,3,51,79,10,34,48,19
"211798",6,13,73,85,18,16,66,80,21,86,47,35
"381339",24,31,2,3,25,26,1,3,7,2,1,3
"74897",0,0,0,0,0,0,0,0,0,0,0,0
"66297",0,0,0,0,0,0,0,0,0,0,0,0
"18993",0,0,0,0,0,0,1,0,1,0,1,0
"73100",0,0,0,0,1,0,0,0,0,0,0,0
"69527",370,305,174,149,437,436,404,351,408,620,664,507
"93690",1,0,0,0,1,1,0,0,0,1,0,0
"73122",629,678,499,545,581,473,760,669,526,680,692,679
"98404",433,554,149,150,357,362,206,187,280,278,271,402
"14200",1208,1134,14,21,1803,1700,174,208,1068,341,467,908
"666642",491,423,345,376,815,726,836,828,862,1041,1091,750
"17974",1754,1763,365,352,2049,1946,558,658,1614,3498,4109,1592
"100861934",2,2,1,3,1,6,12,19,2,3,11,2
"78896",1445,1155,0,2,11991,9261,23,12,4153,42,35,3414
"67883",64,77,180,186,120,85,127,129,148,449,332,181
"100503192",428,412,465,466,522,510,760,677,504,736,756,481
"22019",1989,1522,1482,1331,3416,2632,3076,3017,3036,2438,2773,2444
"433294",2,0,3,0,1,0,1,2,0,1,0,0
"75623",268,232,477,393,489,333,450,306,527,505,429,659
"72050",875,828,214,177,1284,1188,354,290,1178,525,463,1412
"246229",140,168,97,79,127,114,109,167,110,212,200,179
"22592",693,657,155,178,583,579,276,298,585,349,379,656
"100861960",0,0,0,0,0,0,0,0,0,0,0,0
"403183",0,0,0,0,0,0,0,0,0,0,0,0
"70676",897,865,524,616,717,944,185,341,888,127,239,624
"75066",2,1,1,1,2,0,3,1,2,1,0,1
"12825",2083,1713,696,763,3202,3285,723,446,1844,441,783,1349
"12832",4816,4891,48,59,1597,2337,79,50,4982,62,87,5409
"73674",474,442,257,293,917,711,585,441,860,1002,879,981
"433297",10675,8530,635,664,9502,10606,1363,1517,4902,1883,2141,5159
"53945",22,34,114,133,22,15,48,61,91,173,145,83
"100042453",1,2,2,2,1,5,7,7,3,4,4,3
"212225",0,0,0,0,0,0,0,0,0,0,0,0
"227058",220,185,3,8,79,132,3,2,169,15,14,110
"100101919",14,6,1,0,8,4,0,0,9,2,2,10
"227059",1952,1795,438,455,2181,1785,495,279,2138,540,526,1936
"442837",0,0,0,0,0,0,0,0,0,0,0,0
"56363",11,12,0,1,9,17,1,0,38,2,4,44
"442821",2,1,0,0,0,2,0,0,1,0,0,0
"20324",4721,5195,72,65,2493,2833,276,345,4455,936,940,4060
"109019",4323,3718,1410,1433,2107,2327,2145,2581,2577,3021,3927,3147
"100045066",3,7,29,26,3,1,15,24,3,1,6,0
"17912",1817,1767,155,169,2129,1670,635,534,1908,1636,1750,1603
"20849",25,23,2,2,19,30,1,0,3,31,27,3
"100042634",1,0,0,0,0,2,3,5,2,1,0,0
"20846",970,731,783,726,1056,894,1049,657,626,837,879,532
"14660",7574,6460,677,718,10106,8413,1947,1925,10148,4644,4909,11098
"17936",2980,2602,1275,1112,2836,2360,3715,3491,2088,3106,4049,1947
"227094",78,115,23,15,92,69,42,21,109,149,171,120
"98682",1565,1528,1963,1970,868,853,3865,3167,1062,2392,2573,1148
"16329",242,299,113,80,222,222,213,175,278,230,224,324
"227095",577,505,458,454,552,550,483,497,337,399,361,351
"67080",298,269,81,62,361,321,5,6,119,8,5,51
"17700",2,0,0,0,0,0,0,0,0,0,0,0
"69397",0,0,0,0,2,1,0,0,0,0,0,0
"227099",65,68,59,53,96,67,64,34,118,154,140,106
"227102",67,72,246,228,53,52,266,231,89,413,371,120
"72085",148,171,60,62,139,139,89,70,144,100,111,117
"70396",123,146,403,481,187,170,735,769,217,580,618,232
"627872",48,49,0,0,15,25,2,0,42,4,4,32
"98267",516,468,348,359,1198,832,292,223,721,317,369,858
"329152",253,234,50,40,194,158,5,4,77,19,12,90
"78016",3,1,0,0,2,6,2,2,1,4,5,5
"98488",228,292,135,147,196,183,138,134,208,259,272,277
"241062",229,231,69,77,238,240,90,93,242,307,315,232
"329154",637,582,13,18,484,549,29,48,1385,256,270,1281
"81898",10459,10757,6437,6220,16440,13835,12618,12309,17467,15047,15956,18573
"67876",3907,3331,2122,1818,5220,4648,4556,4029,5636,4957,5033,5825
"15510",2045,1768,2874,3158,5127,3496,5409,3715,5221,6178,5944,5398
"15528",393,336,470,448,975,712,1018,716,1051,1130,1189,1138
"19070",1377,1209,491,455,1239,1152,898,776,1084,1344,1452,1208
"74013",83,187,109,105,79,110,22,14,268,404,298,245
"212679",125,111,158,141,299,216,251,175,230,264,300,235
"75388",0,0,1,1,0,0,0,0,0,0,2,0
"227120",916,1013,878,837,1126,962,96,258,1045,75,67,562
"626009",90,80,61,56,152,107,76,63,146,102,96,235
"329159",0,0,0,0,0,0,0,0,0,0,0,0
"71066",0,0,0,0,0,0,0,0,0,0,0,0
"212712",2,9,14,11,8,8,15,11,21,16,16,22
"329160",0,1,2,1,3,2,4,8,5,5,6,4
"407809",0,0,2,3,0,0,0,0,0,0,0,0
"75323",4,4,6,5,8,9,5,2,6,10,8,8
"73467",55,62,63,71,94,70,90,37,47,48,64,65
"68736",202,188,47,65,222,197,106,80,174,222,207,190
"68115",169,171,177,180,300,259,411,343,283,477,481,261
"67198",1741,1469,12,17,958,1151,19,43,968,364,290,1238
"51960",180,202,16,49,185,177,58,76,159,163,176,167
"68549",23,14,111,89,87,55,70,37,102,86,91,115
"11761",298,319,19,20,281,435,7,33,693,213,190,537
"71724",3,3,118,143,2,5,19,41,2,5,20,3
"71872",2,0,1,2,4,2,15,23,0,2,8,2
"213043",0,0,12,5,4,3,20,16,0,8,20,0
"66882",4673,3815,2089,2021,7408,5959,5580,4842,7641,6744,7383,7308
"12747",4822,6623,1941,2384,4161,3781,3033,2588,6773,5909,6132,8421
"70225",235,210,96,86,241,214,241,197,196,238,294,241
"65102",151,150,132,155,174,123,260,207,207,321,280,259
"18393",393,365,320,314,421,329,447,359,523,563,553,691
"100504455",0,2,1,1,3,4,1,3,2,3,2,4
"213056",181,186,332,303,188,155,318,345,166,330,374,194
"66495",454,476,489,479,660,630,579,571,457,733,700,477
"100504501",62,43,32,31,60,60,51,38,45,56,57,40
"108812",0,2,0,2,2,4,1,0,1,0,4,3
"12633",2614,2111,644,524,2552,2479,1444,1581,1999,1047,1315,1726
"12370",266,290,398,359,315,333,553,479,528,775,805,527
"70827",3270,2831,939,931,3757,3198,2198,2204,3769,1587,2015,3938
"227154",197,192,98,131,131,114,162,160,112,93,89,138
"73463",1,0,0,0,0,0,0,0,0,2,1,1
"381259",291,290,28,27,392,365,100,75,429,226,236,502
"227157",11,14,0,1,10,19,5,9,22,2,2,14
"74018",1583,1132,393,404,1660,1519,588,553,1491,554,738,1259
"271697",56,32,0,0,60,107,0,3,29,0,1,19
"14369",5579,6912,115,110,7854,8459,345,290,5400,792,815,9624
"381260",7,7,0,4,5,3,12,19,6,9,24,0
"22218",1438,1238,1012,890,1724,1466,2046,1623,1780,1873,2025,1809
"55989",12093,9593,2774,2552,18013,15650,3822,3320,17215,5854,5874,14863
"100217459",7,6,2,8,4,4,0,0,4,5,3,12
"100217421",1,3,3,0,3,1,0,1,3,0,1,7
"12168",1222,1058,172,222,1975,1872,458,420,1790,791,818,1518
"100504533",121,90,14,15,146,134,26,46,122,52,60,125
"72750",861,749,590,437,1743,1225,1039,854,1602,820,890,1838
"70375",16,16,7,7,20,14,1,0,26,6,5,39
"57750",122,110,95,122,300,195,274,175,259,266,263,286
"241066",109,106,27,53,87,76,33,39,87,69,68,63
"100504573",452,416,382,323,761,664,849,707,932,1039,1190,762
"269198",1790,1452,317,289,1139,1157,418,465,1152,758,692,1182
"77951",276,242,333,337,242,231,414,318,283,489,464,328
"329165",933,829,42,45,1155,843,223,173,839,498,477,1091
"77300",1085,1018,817,700,1519,1259,1089,983,1203,1083,1304,1160
"100043027",241,187,790,745,358,318,606,586,268,467,433,342
"100042533",9,13,6,7,6,6,14,11,8,5,16,7
"12487",2,1,9,13,2,2,0,3,0,1,3,1
"100504618",0,0,0,0,0,0,0,0,0,0,0,0
"12477",0,1,0,0,3,1,0,0,0,0,0,4
"54167",1,0,0,0,2,0,1,0,1,0,2,1
"77341",0,0,0,0,0,0,0,0,0,0,0,0
"72823",184,204,93,69,354,323,644,525,444,441,379,477
"18187",791,633,46,41,1167,1510,399,284,1176,182,245,869
"74992",1,3,0,1,7,4,1,2,3,1,0,4
"227195",1596,1319,611,522,1992,1726,1360,1294,1800,1804,2039,1899
"100380944",31,28,3,10,35,31,21,8,39,41,35,30
"100504668",10,12,7,0,11,7,4,7,15,10,11,11
"227197",1324,1202,1540,1549,1790,1561,1386,1179,1231,1380,1480,1391
"55949",5143,4677,6171,6073,10741,8897,20303,18038,13977,19932,21272,12512
"100217464",20,30,8,11,47,56,19,15,33,38,36,51
"241070",3,2,1,0,5,5,0,0,10,6,4,23
"73884",28,32,2,2,127,69,15,13,311,153,75,280
"23792",12,9,1,0,12,16,0,1,26,1,2,24
"241073",0,0,3,1,0,0,1,3,0,0,1,0
"76668",0,0,0,1,0,0,2,3,3,2,0,0
"75619",293,270,278,313,340,250,457,367,329,592,584,486
"74426",2,0,0,3,1,1,0,1,1,1,4,4
"433315",1,1,0,0,0,1,0,0,0,0,2,2
"93691",458,482,65,75,387,430,385,364,354,383,411,340
"12912",840,824,332,363,781,731,783,668,813,1140,1089,959
"67099",232,221,56,74,200,159,63,78,170,161,124,170
"69941",19,16,67,65,22,23,56,24,49,30,30,51
"227210",721,558,97,78,797,705,223,160,1310,335,423,1373
"14367",1239,1380,638,584,1546,1040,2365,1776,2317,1025,1241,3220
"241075",583,646,87,63,362,435,107,104,680,305,277,763
"70861",0,0,0,0,0,0,0,0,0,0,0,0
"667276",5,5,13,8,21,18,15,19,31,27,19,21
"12968",0,0,0,0,0,0,0,0,0,0,0,0
"12967",0,0,0,0,0,0,0,0,0,0,0,0
"12966",0,0,0,0,0,0,0,0,0,0,0,0
"12965",0,0,0,0,0,0,0,0,0,0,0,0
"12964",0,0,0,0,0,0,0,0,0,0,0,0
"98303",5,6,0,0,8,11,0,0,4,0,1,2
"15926",1311,1420,192,220,727,927,336,431,579,530,495,617
"18711",642,626,576,660,468,453,362,334,534,557,550,670
"213527",0,0,3,0,1,1,1,0,0,1,0,1
"12969",0,0,0,0,0,0,0,0,0,0,0,0
"17756",2701,2198,174,194,3346,3852,787,975,3524,2913,2443,2950
"100038569",0,0,0,1,2,1,0,1,0,0,1,0
"329178",2,8,7,3,28,33,12,25,50,34,64,21
"66646",617,565,809,958,658,549,893,717,518,719,801,563
"68691",1762,1312,136,135,2495,1925,231,225,2609,735,778,2428
"11363",1073,823,390,323,2061,2341,2506,3029,2311,2018,2415,2056
"100862127",1,7,2,2,10,5,6,7,10,9,14,8
"17901",0,0,0,0,1,0,0,0,3,5,2,0
"14768",1034,993,256,225,1070,1078,449,379,1010,831,834,997
"227231",1,0,1,0,0,0,1,0,0,1,1,0
"13869",2,3,94,51,6,8,207,151,9,144,170,5
"100502712",0,0,0,0,0,0,0,0,0,0,0,0
"22779",296,318,404,459,421,384,177,205,493,330,354,489
"66722",1,1,0,0,0,0,0,0,0,0,0,0
"320460",0,0,0,0,0,0,0,0,0,0,0,0
"12021",21,23,82,55,74,68,62,30,145,127,97,138
"74591",21,17,0,0,30,39,0,0,104,2,0,89
"108147",750,754,459,544,1224,960,906,623,1034,1655,1435,1471
"14268",681,407,58,83,644,609,112,50,1532,260,334,1566
"100042814",0,0,0,0,0,0,0,0,0,0,0,0
"667931",0,0,0,0,0,0,0,0,0,0,0,0
"71134",0,0,0,0,0,0,0,0,0,1,0,0
"433319",4,1,0,3,3,4,2,1,3,2,5,3
"381269",250,232,14,12,427,299,50,26,660,51,49,578
"111175",122,159,225,200,279,267,237,207,218,196,152,303
"271711",16,24,0,0,13,11,0,0,9,0,0,7
"22596",976,932,416,380,1235,1172,418,434,1178,558,521,1201
"381270",23,32,0,0,17,13,1,2,29,0,0,26
"54380",632,679,204,218,677,607,268,267,576,471,415,700
"319695",1,1,0,0,1,0,0,0,0,0,1,0
"19981",127,131,87,96,249,181,203,190,224,296,289,221
"16008",26047,24688,23,25,28282,28554,51,57,3737,17,21,6145
"16011",39195,41658,8875,9295,106228,55364,21269,26327,97798,55835,53177,87765
"21958",0,0,0,0,0,0,0,0,0,0,0,0
"69449",0,1,0,0,1,1,0,0,0,0,0,0
"723792",93,79,221,219,101,87,114,157,83,107,121,64
"78718",5,6,16,19,12,14,8,13,5,5,7,5
"109198",1,0,0,0,4,2,1,0,4,0,0,2
"21961",35649,32593,812,785,23002,27489,237,210,5599,235,455,6490
"435626",64,60,13,6,184,134,13,11,94,19,28,93
"100862357",0,0,0,0,0,0,0,0,0,0,0,0
"12765",0,0,0,0,5,1,1,3,1,0,2,1
"227288",0,0,0,0,0,0,0,0,0,0,0,0
"100316687",0,0,0,0,0,0,0,0,0,0,0,0
"76709",4903,4083,1652,1525,5435,5041,3942,4016,4480,4520,5026,4717
"227289",1,1,0,1,1,1,0,0,1,0,2,0
"227290",2925,2851,2252,2076,4602,3676,4336,3757,4114,3805,4299,4434
"56695",841,809,178,180,793,702,372,323,533,360,389,523
"69660",3427,3095,2685,2790,3949,3734,5080,5236,3179,4084,4610,3097
"241112",22,20,1,1,18,12,0,1,7,1,0,20
"18173",11,8,1,0,22,32,4,2,34,14,7,28
"227292",1198,1238,536,496,1193,1110,902,815,1054,1125,1080,1330
"387219",0,0,1,0,0,1,1,0,3,0,1,1
"22349",16,12,2,3,26,27,3,5,29,2,6,17
"319651",1461,912,370,348,1907,1800,857,562,2023,1371,1364,1858
"58184",426,479,395,457,560,441,659,409,697,911,967,797
"18802",78,67,10,7,88,48,6,13,97,15,22,96
"77264",1147,1069,185,183,1219,1038,575,449,1448,723,808,1705
"66821",187,198,164,177,265,243,338,274,223,335,343,250
"57751",515,566,252,205,681,558,417,367,686,662,665,600
"269209",81,102,17,19,85,82,47,44,149,151,176,206
"67534",370,315,366,402,748,492,878,726,739,1023,975,972
"104086",202,195,0,4,171,156,8,0,157,15,12,129
"241113",20,24,0,0,20,19,0,0,9,0,0,3
"22420",2222,2350,2,2,1673,1799,3,1,651,11,4,761
"22409",1180,952,9,0,1039,1163,4,3,2086,4,11,2204
"12570",1,0,0,0,0,3,0,0,6,0,0,4
"260298",0,0,0,0,0,0,0,0,0,0,0,0
"12958",0,0,0,0,0,0,0,0,0,1,0,0
"723900",0,0,0,0,0,0,0,0,0,0,0,0
"241116",0,1,1,0,0,0,0,0,0,1,1,0
"16147",2,2,0,0,4,1,1,2,16,0,6,6
"75570",76,79,26,37,59,52,72,61,61,55,72,66
"22626",50,50,13,11,61,54,20,35,102,30,57,124
"69171",481,558,632,592,570,497,1364,1550,625,954,1124,800
"227298",554,613,861,815,592,475,1298,1256,765,1600,1696,947
"68818",328,292,292,288,280,220,437,390,178,407,481,305
"74104",248,252,463,462,397,355,515,469,303,313,348,385
"245860",1010,1080,1279,1320,1074,931,1278,1172,832,874,1079,1019
"52231",180,218,175,200,159,118,302,217,182,372,389,233
"74577",275,278,40,19,200,238,85,64,257,224,191,256
"20872",593,608,402,432,750,674,610,546,599,960,976,797
"22145",3718,3316,3699,4144,5306,4726,3203,2544,6876,6493,5775,9211
"381272",2,1,3,1,0,1,0,1,4,5,6,3
"56812",1316,1173,708,614,1291,1048,1309,1196,1043,1356,1697,1001
